condition,promoter,vector,replica,well,well_gr,sd_well_gr,alpha_gfp,sd_alpha_gfp,promoter_type
glucose020,p3C5,pl,2,pl6_C_5_p3-C5,0.6368105765639495,0.009787213659760579,7357.934232464144,138.2618223176636,high
glucose020,p3H6,pl,2,pl6_H_6_p3-H6,1.0586074355633848,0.03831289814252562,15608.600598592333,243.56174622859916,high
glucose020,p3A9,pl,4,pl6_A_9_p3-A9,0.8432178246532797,0.018055163678323077,1005.1432703990305,14.866266001105531,medium
glucose020,p3C9,pl,4,pl6_C_9_p3-C9,0.8468130163266264,0.009622045127998413,365.4696463149353,31.42408028562215,medium
glucose020,p3A8,pl,5,pl6_A_8_p3-A8,0.7697895199531474,0.01433011022239232,717.6765298001355,33.41054651800479,medium
glucose020,rrnB,pl,3,pl5_H_5_pl-rrnB,0.8095397982723945,0.030496825819312668,18212.252631161817,465.13357669626953,ribosomal
glucose020,rrnB,pl,3,pl5_H_6_pl-rrnB,0.9323432380695329,0.07066498594782326,17123.43821886754,844.0094247664141,ribosomal
glycerol040,p3C8,pl,1,pl4_C_8_p3-C8,0.37714723030403835,0.012812915146705246,78.50038210421826,37.23366508926868,medium
glucose020,p3B5,pl,1,pl6_B_5_p3-B5,0.52855105820423,0.011187311305172072,12885.624633762925,268.3350293115172,high
glucose020,p3G3,pl,1,pl6_G_3_p3-G3,0.9550618254835156,0.03754027063150749,561.3800591325166,27.259239312457083,medium
glucose020,p3H3,pl,1,pl6_H_3_p3-H3,0.6524579467624173,0.05505358111410758,866.8263612121586,65.32431600863502,medium
glucose020,p3H4,pl,1,pl6_H_4_p3-H4,1.078447606105622,0.026264842099726765,12103.649953915452,301.6777527011825,high
glucoseaa020,p3B4,pl,1,pl8_B_4_p3-B4,1.6380805301517425,0.027683639113244677,6626.093853841164,190.3736758717282,high
glucoseaa020,p3B5,pl,1,pl8_B_5_p3-B5,1.1414374746710194,0.012251509059912626,3853.128432224833,235.138339676307,high
glucoseaa020,p3B6,pl,1,pl8_B_6_p3-B6,1.2369508157445035,0.03338385897118864,13082.261186414598,272.71749198110064,high
glucoseaa020,p3B8,pl,1,pl8_B_8_p3-B8,1.4965814727343305,0.056877628475840124,327.9995044296415,27.660979741794943,medium
glucoseaa020,p3C1,pl,1,pl8_C_1_p3-C1,1.37230531744409,0.06898243902281717,317.52484160016695,49.67294626055567,medium
glucoseaa020,p3C4,pl,1,pl8_C_4_p3-C4,1.1486509421382907,0.02780151794622282,7799.171102503882,404.38320649721675,high
glucoseaa020,p3C9,pl,1,pl8_C_9_p3-C9,1.3103339559795621,0.0681247853669087,149.426688018371,14.358690148627126,medium
glucoseaa020,p3E9,pl,1,pl8_E_9_p3-E9,1.211082522896315,0.022823647895811015,745.9709857390392,33.190336416389115,medium
glucoseaa020,p3E11,pl,1,pl8_E_11_p3-E11,1.4164624668062604,0.11488902279273262,6249.97317221374,362.40861979792356,high
glucoseaa020,p3G9,pl,1,pl8_G_9_p3-G9,1.1671408561924475,0.03727819623111138,253.4817342758264,38.88325322340751,medium
glucose020,p2H8,pl,1,pl5_H_8_p2-H8,0.583572854861576,0.015722751529758393,305.9010012984759,16.40404725327478,medium
glucoseaa020,p2D8,pl,1,pl7_D_8_p2-D8,1.1474132785015096,0.05195505899034048,256.2652094795639,9.50243167461764,medium
glucose020,p2F10,pl,2,pl5_F_10_p2-F10,0.5519725750391754,0.04251118369251934,24582.74965363883,874.0619786573974,high
glucose020,p3A4,pl,2,pl6_A_4_p3-A4,0.8985653114960381,0.05453909839162398,8443.946764773324,277.5450894062958,high
glucose020,p3A5,pl,2,pl6_A_5_p3-A5,0.8863178470001829,0.05322972830896157,13134.867265520163,463.4821000517377,high
glucose020,p3B3,pl,2,pl6_B_3_p3-B3,0.7090653355006601,0.04239504837946998,1476.136348202029,55.25161254634398,medium
glucose020,p3B5,pl,2,pl6_B_5_p3-B5,0.9043142080915048,0.056090955281915746,10156.853138925228,290.9367648621988,high
glucose020,p3C6,pl,2,pl6_C_6_p3-C6,0.8719420467530813,0.052027044258831805,10019.609840847526,270.84460937518475,high
glucose020,p3C7,pl,2,pl6_C_7_p3-C7,0.7443458194897443,0.01632098114686967,722.8045613297234,24.87480832344795,medium
glucose020,p3C9,pl,2,pl6_C_9_p3-C9,0.8035111117097895,0.02856949207831347,362.30824396704963,29.576976552274683,medium
glucose020,p3D9,pl,2,pl6_D_9_p3-D9,0.8891139281730458,0.023257849596249488,1847.0764984795594,30.910517350195782,medium
glucose020,p3E4,pl,2,pl6_E_4_p3-E4,0.5936370878765619,0.01062223014005272,11303.614735580442,250.94382011186883,high
glucose020,p3E5,pl,2,pl6_E_5_p3-E5,0.6669215433898839,0.01048116032528485,8865.8509734016,195.74670889981374,high
glucose020,p3H9,pl,2,pl6_H_9_p3-H9,0.8498137840332272,0.04332597688349778,1202.8378609562883,46.726674648833075,medium
glucose020,p2H9,pl,6,pl5_H_9_p2-H9,0.8221395241670127,0.059249531259413055,591.0790605183239,37.59990949590906,medium
glucose020,p3B5,pl,6,pl6_B_5_p3-B5,0.6300882284900675,0.04891321827849388,16130.576555176547,194.66135642750797,high
glucose020,p2G7,pl,4,pl5_G_7_p2-G7,0.6815594985104816,0.014018320329305908,1089.8182344469296,48.331981360577856,medium
glycerol040,p3D11,pl,5,pl4_D_11_p3-D11,0.4736539459955435,0.01956656374631209,13536.666289345274,514.023055817625,high
glucose020,p3A11,pl,4,pl6_A_11_p3-A11,0.9119054301877345,0.05126716713513404,20331.665348334394,838.7604503416485,high
glucose020,p3B4,pl,4,pl6_B_4_p3-B4,0.7516273541846203,0.011255486219783669,16367.001171362464,488.51568077444216,high
glucose020,p3B10,pl,4,pl6_B_10_p3-B10,0.9439772107809866,0.0642021260516618,8776.794772403287,131.56834749954226,high
glucose020,p3C10,pl,4,pl6_C_10_p3-C10,0.9257624929234357,0.043935236908902234,11289.077649239976,422.25973952382105,high
glucose020,p3C11,pl,4,pl6_C_11_p3-C11,0.8538053202746486,0.05550819532564736,16150.938646763274,250.83258374939857,high
glucose020,p3E6,pl,4,pl6_E_6_p3-E6,0.8267962357676234,0.031211786653815913,12818.932436546038,228.65805998210124,high
glucose020,p3F9,pl,4,pl6_F_9_p3-F9,0.8785967866900649,0.049368094146491036,288.9882713603094,38.36135258972431,medium
glucose020,p3G10,pl,4,pl6_G_10_p3-G10,0.8878190365127381,0.054265306302006995,7492.364655961227,317.42162758397586,high
glucose020,p3H3,pl,4,pl6_H_3_p3-H3,0.8252848250797313,0.019456366121181002,592.3779897022193,12.560247550845867,medium
glucose020,p3H5,pl,4,pl6_H_5_p3-H5,0.765700327412503,0.01670492681014519,21877.267802249266,694.9126796264262,high
glucose020,p2H9,pl,5,pl5_H_9_p2-H9,0.7977841720986055,0.06169624754284045,439.5087987831686,44.53638442876861,medium
glucose020,p3A7,pl,5,pl6_A_7_p3-A7,0.7194949763947053,0.029156253679296983,2050.853649834772,77.95657759757532,medium
glucose020,med3,pl,3,pl5_D_5_pl-med3,0.941612712730729,0.07582991991333372,1081.8788220802417,50.217478270093316,medium
glucose020,p2D9,pl,3,pl5_D_9_p2-D9,0.9640836644721689,0.1149106285473652,661.5738939595481,74.49278912476314,medium
glucose020,rplN,pl,3,pl5_E_5_pl-rplN,0.8910211092252217,0.07708376760689324,42364.49160697267,1945.3429936618268,ribsomomal
glucose020,rpmB,ch,3,pl5_F_3_ch-rpmB,0.9258710908452039,0.04986293586102863,1628.6394792888752,50.998265224756835,ribosomal
glucose020,rpsB,ch,3,pl5_G_4_ch-rpsB,0.8006964400549517,0.07550251731038334,2365.182785858006,196.78878755364065,ribosomal
glucose020,rrnB,ch,3,pl5_H_4_ch-rrnB,1.0253874697340017,0.060185871724060896,3223.231817669451,246.8672564606643,ribosomal
glucose020,p2H9,pl,3,pl5_H_9_p2-H9,0.8592665950418681,0.05268067570573426,725.3913625516267,21.198991172587494,medium
glucoseaa020,p3A2,pl,1,pl8_A_2_p3-A2,1.8827840063586794,0.08142542527018863,241.8661691827954,12.102196987625717,medium
glucoseaa020,p3A4,pl,1,pl8_A_4_p3-A4,2.0880654807183836,0.10363178059741888,3488.5224451157655,11.019409521752813,high
glucoseaa020,p3A5,pl,1,pl8_A_5_p3-A5,1.7973147030963565,0.09098645195859019,6875.887144791108,394.70903499410394,high
glucoseaa020,p3A6,pl,1,pl8_A_6_p3-A6,1.80853658264253,0.0940613150908744,4329.167078282172,16.24079265058359,high
glucoseaa020,p3A7,pl,1,pl8_A_7_p3-A7,2.130387153991737,0.05751780913117148,728.2645860809012,18.611561730868285,medium
glucoseaa020,p3A9,pl,1,pl8_A_9_p3-A9,2.194152187046116,0.08101161338340811,473.3428467350098,13.959652556610473,medium
glucoseaa020,p3A10,pl,1,pl8_A_10_p3-A10,2.1150466334238263,0.03570693198921074,15189.149275214455,403.2725228004899,high
glucoseaa020,p3B1,pl,1,pl8_B_1_p3-B1,1.5386475563420794,0.06747112326410463,260.77840975914006,23.053446441050188,medium
glucoseaa020,p3B2,pl,1,pl8_B_2_p3-B2,1.631045328625679,0.02800725687309545,622.5530358571314,34.624265963400134,medium
glucoseaa020,p3B3,pl,1,pl8_B_3_p3-B3,1.6855371195700122,0.0184819445316403,506.7104526018222,12.876629203150724,medium
glucoseaa020,p3B9,pl,1,pl8_B_9_p3-B9,1.2495931136169587,0.016251618264397548,36.06342214651522,15.59925061607405,medium
glucoseaa020,p3B10,pl,1,pl8_B_10_p3-B10,1.5796569468871984,0.07115998216077597,3125.3677433053426,82.56089389962996,high
glucoseaa020,p3B11,pl,1,pl8_B_11_p3-B11,1.6346758364262366,0.11374201130170211,9456.36993890624,321.9488055857987,high
glucoseaa020,p3C2,pl,1,pl8_C_2_p3-C2,1.7471284664869149,0.1754009570427556,285.3537038751068,33.58104099824134,medium
glucoseaa020,p3C8,pl,1,pl8_C_8_p3-C8,1.664412229680559,0.12450410568238485,513.5198889998009,30.350766295414754,medium
glucoseaa020,p3C11,pl,1,pl8_C_11_p3-C11,1.5780530212629396,0.0443532013114154,13700.467234605141,119.81051507241965,high
glucoseaa020,p3D2,pl,1,pl8_D_2_p3-D2,1.6430282522557937,0.040293444809910046,306.16196867684016,30.233039619343767,medium
glucoseaa020,p3D4,pl,1,pl8_D_4_p3-D4,1.6234885876913143,0.025419506199356255,4355.22276068267,80.59910029009598,high
glucoseaa020,p3D6,pl,1,pl8_D_6_p3-D6,1.701503255697145,0.07460380123796413,6603.327311367402,410.0706415697375,high
glucoseaa020,p3D7,pl,1,pl8_D_7_p3-D7,1.4309693407019946,0.05714698209794075,381.01294993937785,25.80009093997089,medium
glucoseaa020,p3D9,pl,1,pl8_D_9_p3-D9,1.3944952836805915,0.11808632074896987,2757.816042159047,106.82406243863618,medium
glucoseaa020,p3D10,pl,1,pl8_D_10_p3-D10,1.497946700045906,0.033886362483420474,13885.460454417882,201.2006350115958,high
glucoseaa020,p3D11,pl,1,pl8_D_11_p3-D11,1.40516775433862,0.05266440641385423,7921.941412172873,300.51363833161685,high
glucoseaa020,p3E10,pl,1,pl8_E_10_p3-E10,1.5201664101286823,0.11687967063471916,2180.366531342352,198.44663151413127,high
glucoseaa020,p3F1,pl,1,pl8_F_1_p3-F1,1.6321617853711379,0.10100087792646391,552.3118711256291,29.333778059374936,medium
glucoseaa020,p3F2,pl,1,pl8_F_2_p3-F2,1.8306021613420955,0.09876641704560443,204.2754405917096,18.036320359098553,medium
glucoseaa020,p3F3,pl,1,pl8_F_3_p3-F3,1.718214921497071,0.07355396613511138,247.3766210332036,14.336836293947187,medium
glucoseaa020,p3F5,pl,1,pl8_F_5_p3-F5,1.614191380545236,0.02578674635776038,9881.110061444251,183.75524145404933,high
glucoseaa020,p3F7,pl,1,pl8_F_7_p3-F7,1.485528990173348,0.011690011392431044,313.51060062015296,11.507204385141698,medium
glucoseaa020,p3F9,pl,1,pl8_F_9_p3-F9,1.3483633296013606,0.04752882581459833,378.2747944107623,29.020994634237653,medium
glucoseaa020,p3F10,pl,1,pl8_F_10_p3-F10,1.5518128466700674,0.04286480167523331,15766.845837254645,696.8168768915342,high
glucoseaa020,p3F11,pl,1,pl8_F_11_p3-F11,1.332214416154269,0.09857684482989203,7020.609918093602,304.46530166421365,high
glucoseaa020,p3G2,pl,1,pl8_G_2_p3-G2,1.6730610073591248,0.09951220088288022,503.74007902791567,27.894505563589515,medium
glucoseaa020,p3G3,pl,1,pl8_G_3_p3-G3,1.7425265993302672,0.03914486469305051,460.7916383342907,11.769714266103914,medium
glucoseaa020,p3G4,pl,1,pl8_G_4_p3-G4,1.701259813078894,0.021625960988390848,13108.988226548629,325.9825572500034,high
glucoseaa020,p3G5,pl,1,pl8_G_5_p3-G5,1.826879004166039,0.023476919200985095,6548.241919038934,132.14867281392782,high
glucoseaa020,p3G7,pl,1,pl8_G_7_p3-G7,1.4960400115585315,0.01387214196274947,275.9301049447628,11.89650012533444,medium
glucoseaa020,p3G12,pl,1,pl8_G_12_p3-G12,1.8438458525611772,0.1358993748578651,6660.876819720472,125.51636851262595,high
glucoseaa020,p3H2,pl,1,pl8_H_2_p3-H2,1.6391325672687953,0.11450918100383699,134.57614225614645,32.558314672980025,medium
glucoseaa020,p3H3,pl,1,pl8_H_3_p3-H3,1.6623958051616132,0.0663934920474572,745.076677399354,33.48260302150695,medium
glucoseaa020,p3H4,pl,1,pl8_H_4_p3-H4,1.603578184217455,0.14737574506478332,10234.042851103051,415.7537179351227,high
glucoseaa020,p3H6,pl,1,pl8_H_6_p3-H6,1.7986102566470283,0.11245251381755735,10322.799407438659,143.32563838159552,high
glucoseaa020,p3H10,pl,1,pl8_H_10_p3-H10,1.6754574625687768,0.08611374094459998,5531.087012894011,330.9160043625083,high
glucoseaa020,p3H11,pl,1,pl8_H_11_p3-H11,1.666203274240842,0.10569420977971367,7637.939531915528,427.15663700328093,high
glycerol040,p3D6,pl,1,pl4_D_6_p3-D6,0.39468283545330535,0.006481979064551918,13456.03482934954,291.19720768891113,high
glucose020,hi1,ch,1,pl5_A_3_ch-hi1,0.8276867146043873,0.04268857977865757,3472.6861098784493,152.0922245465096,high
glucose020,p2F10,pl,1,pl5_F_10_p2-F10,0.5057375221630167,0.009699032527203688,17616.145778733266,322.80055632125647,high
glucose020,p2H10,pl,1,pl5_H_10_p2-H10,0.5592070422319187,0.021714940215681513,10463.648464680093,143.40458603200474,high
glucose020,p3A2,pl,1,pl6_A_2_p3-A2,0.5221359945918265,0.012146737028581584,617.9946461019154,24.29003049793559,medium
glucose020,p3A4,pl,1,pl6_A_4_p3-A4,0.9542848787638285,0.013829066608289855,6498.204582006373,224.47512673576566,high
glucose020,p3A6,pl,1,pl6_A_6_p3-A6,1.038150732580754,0.05923335639601594,4823.044709368256,146.2764592191554,high
glucose020,p3A7,pl,1,pl6_A_7_p3-A7,1.1438304462008335,0.08375028282401405,1145.2800321326233,63.96535736168656,medium
glucose020,p3A9,pl,1,pl6_A_9_p3-A9,0.9265170292475212,0.052277086384262296,645.7824537870264,34.78245378216117,medium
glucose020,p3B3,pl,1,pl6_B_3_p3-B3,0.5386592559640125,0.008080648661175862,706.6534589735289,45.192313979019985,medium
glucose020,p3B7,pl,1,pl6_B_7_p3-B7,0.9085587252569829,0.038358753316173555,409.58586776569206,41.78468374799552,medium
glucose020,p3E2,pl,1,pl6_E_2_p3-E2,0.4759637469112143,0.029512941419572013,600.3782911738565,78.94419968549744,medium
glucose020,p3E10,pl,1,pl6_E_10_p3-E10,0.5134242451065292,0.01642043305091617,4689.407820355213,80.94343904457493,high
glucose020,p3G4,pl,1,pl6_G_4_p3-G4,0.8891076964780562,0.02505337570968007,12433.160831956555,160.00865339230594,high
glucose020,p3H2,pl,1,pl6_H_2_p3-H2,0.6919812424971293,0.03570081051732652,657.1932992326923,35.957536861515926,medium
glucoseaa020,p2C10,pl,1,pl7_C_10_p2-C10,1.3340223213979092,0.0861590703598383,7440.52548347411,476.7923091525767,high
glucoseaa020,rpsB,ch,1,pl7_G_4_ch-rpsB,1.6248885340149324,0.0059448583131161414,2148.2431655868922,3.1356376019799788,ribosomal
glycerol040,p2E7,pl,1,pl3_E_7_p2-E7,0.4262810374127419,0.013368044695611403,106.03888274102712,52.796630491358215,medium
glucose020,p3B11,pl,2,pl6_B_11_p3-B11,0.7364227935041283,0.019703661788109686,32365.0839057836,768.5996443766908,high
glucose020,p3B12,pl,2,pl6_B_12_p3-B12,0.8717240196768042,0.01790760115090317,21087.4079143916,812.6179133186527,high
glucose020,p3D6,pl,2,pl6_D_6_p3-D6,0.717537876959175,0.04553313514739052,11907.521089075437,303.1669307390997,high
glucose020,p3B4,pl,2,pl6_B_4_p3-B4,0.9678165255421517,0.05207614198598503,14470.12215197837,242.089688493105,high
glucose020,p3C10,pl,2,pl6_C_10_p3-C10,0.9515637803037668,0.05395448018655033,13918.72458953339,819.3662560914448,high
glucose020,p3D5,pl,2,pl6_D_5_p3-D5,0.7912520559662042,0.04260612786955646,15603.753341633424,812.4609623139612,high
glucose020,p3D7,pl,2,pl6_D_7_p3-D7,0.8596080494874492,0.06216814505863762,915.5842539679917,79.53665439428666,medium
glucose020,p3G10,pl,2,pl6_G_10_p3-G10,0.6788933564816221,0.024049107630276085,10146.598274861804,219.13211992561347,high
glucose020,p3H3,pl,2,pl6_H_3_p3-H3,0.8522868708289318,0.034083774408234825,1183.4318945372106,28.429489622152023,medium
glucose020,rrnB,ch,6,pl5_H_4_ch-rrnB,0.6770801929465804,0.031117114388104418,2662.435838568785,126.83006217283628,ribosomal
glucose020,p3E2,pl,6,pl6_E_2_p3-E2,0.778751153675766,0.012209008076172968,935.5794823375375,22.567967940908893,medium
glucose020,p3E8,pl,6,pl6_E_8_p3-E8,0.8135392270840465,0.0256534136967293,1085.051467011887,37.60595622120184,medium
glucose020,p3C1,pl,7,pl6_C_1_p3-C1,0.6029450300840647,0.03737861797810608,1307.0108820062974,35.96783929695153,medium
glucose020,hi3,pl,4,pl5_B_5_pl-hi3,0.7225979228003307,0.017428383816975826,10343.691569726358,225.82008171241392,high
glycerol040,p3B8,pl,5,pl4_B_8_p3-B8,0.5660115656503658,0.02481487127597296,949.6253411766896,105.76359957459123,medium
glucose020,p3A8,pl,4,pl6_A_8_p3-A8,0.8407970047821816,0.03846506959667824,767.2122242425199,44.63506485315899,medium
glucose020,p3D1,pl,4,pl6_D_1_p3-D1,0.8141574900675002,0.017675524885126786,1401.8741760607072,80.82998887433975,medium
glucose020,p3D2,pl,4,pl6_D_2_p3-D2,0.7888557223175111,0.005932914735283223,792.4729933176337,46.44925295276439,medium
glucose020,p3G2,pl,4,pl6_G_2_p3-G2,0.8155498994492096,0.017861075289102624,674.7077249445563,11.446579061827517,medium
glucose020,p3H4,pl,4,pl6_H_4_p3-H4,0.8065063249198919,0.010171600750376064,15113.796725860479,340.0764316425035,high
glucose020,p3H12,pl,4,pl6_H_12_p3-H12,0.6729725523384598,0.02009623130609931,12421.773189336744,490.01674419347,high
glucoseaa020,p2A8,pl,4,pl7_A_8_p2-A8,1.3021716813928192,0.1394986643598105,399.6228562631479,29.257904645031303,medium
glucose020,p3B8,pl,5,pl6_B_8_p3-B8,0.71545747212858,0.019000361255190557,781.3153719761794,26.071605303122958,medium
glucose020,hi1,pl,5,pl5_A_6_pl-hi1,0.6980959741770748,0.012209277545602568,23533.86718854201,535.7503128665386,high
glucose020,hi3,pl,5,pl5_B_6_pl-hi3,0.7837217242924358,0.015573509109194732,9149.079690186267,419.05887252532597,high
glycerol040,p3B8,pl,3,pl4_B_8_p3-B8,0.39277214776664116,0.01357246302323,980.673994573759,118.9276143715184,medium
glucose020,hi1,pl,3,pl5_A_6_pl-hi1,1.0304616108730986,0.08290149275332928,23957.74412085965,1658.1315494609523,high
glucose020,p2A7,pl,3,pl5_A_7_p2-A7,1.0769608981428853,0.08936590846234667,1207.0765649994269,85.16419243857183,medium
glucose020,hi3,pl,3,pl5_B_5_pl-hi3,0.9489242856465513,0.058822425192932355,10021.733985541601,261.12059935699665,high
glucose020,med2,pl,3,pl5_C_5_pl-med2,0.9465991971684784,0.08774681221825673,555.1075868203679,68.44248667458407,medium
glucose020,p2E8,pl,3,pl5_E_8_p2-E8,1.084483191388909,0.08584782145901543,1107.2220922154797,24.837028842800702,medium
glucose020,rpmB,ch,3,pl5_F_4_ch-rpmB,0.8403314975983127,0.019324675879175086,2188.081334635607,124.13054216575144,ribosomal
glucose020,rpsB,pl,3,pl5_G_5_pl-rpsB,0.9252056283643029,0.09523578856456369,8584.626538905166,652.7508101402371,ribosomal
glucose020,p2H8,pl,3,pl5_H_8_p2-H8,1.0548947284218484,0.06384060616027439,486.64354617041664,54.28547755474588,medium
glucose020,p2H10,pl,3,pl5_H_10_p2-H10,1.0739465560155925,0.07617816001164956,9770.186253058906,303.1989289786874,high
glucose020,p3B7,pl,3,pl6_B_7_p3-B7,0.9718759516573061,0.0919314449647618,652.3299607048218,53.54611465616873,medium
glucose020,p3B9,pl,3,pl6_B_9_p3-B9,0.955215205255811,0.08011211854087485,724.0399386556076,76.36602968707848,medium
glucose020,p3A3,pl,1,pl6_A_3_p3-A3,0.7433443873962434,0.05524266829455662,565.1841436352144,18.954885080004626,medium
glucose020,p3A8,pl,1,pl6_A_8_p3-A8,0.6767701920672428,0.009625839757976226,853.4995675863188,27.17537875790296,medium
glucose020,p3B4,pl,1,pl6_B_4_p3-B4,0.7690353099561144,0.058066624371310764,12906.460034577382,394.13796282699275,high
glucose020,p3B8,pl,1,pl6_B_8_p3-B8,0.7370020983854169,0.008844193088970366,750.0302258547677,26.814622233096465,medium
glucose020,p3B9,pl,1,pl6_B_9_p3-B9,0.5591827771061159,0.032481875411930115,543.7183720608269,21.086924983332512,medium
glucose020,p3C11,pl,1,pl6_C_11_p3-C11,0.6295875056753846,0.010752898649565277,21693.294493390775,264.11193242185885,high
glucose020,p3F1,pl,1,pl6_F_1_p3-F1,0.6981345785291222,0.031005600953145102,1234.080318665439,20.282277638450342,medium
glucose020,p3F3,pl,1,pl6_F_3_p3-F3,0.6055565415889403,0.03321312097205263,423.32513951387375,77.83078756704717,medium
glucose020,p3F9,pl,1,pl6_F_9_p3-F9,0.5141997421025888,0.007634808225158118,705.9857409644105,31.42734190174799,medium
glucose020,p3G5,pl,1,pl6_G_5_p3-G5,0.7339140278356947,0.013258503762218342,12178.405733909178,357.23037003454016,high
glucose020,p3H6,pl,1,pl6_H_6_p3-H6,1.0800719475391312,0.03168862819660039,18481.066110455915,395.74957188587433,high
glucoseaa020,p3A1,pl,1,pl8_A_1_p3-A1,1.5526668456515935,0.2613960185200052,337.3649900063362,58.11374222837271,medium
glucoseaa020,p3A3,pl,1,pl8_A_3_p3-A3,1.7524443732808024,0.09813177639839499,459.28158746308617,38.18063740065079,medium
glucoseaa020,p3A8,pl,1,pl8_A_8_p3-A8,1.908683653887214,0.027724461022223038,283.4743331550449,17.84860671108355,medium
glucoseaa020,p3A11,pl,1,pl8_A_11_p3-A11,1.9736730936599751,0.14571613133166975,16532.986805182005,85.06761903456088,high
glucoseaa020,p3A12,pl,1,pl8_A_12_p3-A12,1.9257364706011928,0.12264874804722585,13092.205176729558,255.17951498240262,high
glucoseaa020,p3B12,pl,1,pl8_B_12_p3-B12,1.9362630920600923,0.1702023446575451,13240.657263575442,27.99116668989132,high
glucoseaa020,p3C3,pl,1,pl8_C_3_p3-C3,1.8293325638609195,0.04043958806505269,406.16875525737703,8.510271869471916,medium
glucoseaa020,p3C5,pl,1,pl8_C_5_p3-C5,1.8800993909003598,0.06359837960487062,2820.130340488542,4.36190831941902,high
glucoseaa020,p3C6,pl,1,pl8_C_6_p3-C6,1.5806451104285058,0.09853635639351624,4259.330242675239,566.8349066857155,high
glucoseaa020,p3C7,pl,1,pl8_C_7_p3-C7,1.763869502526269,0.046431324128895723,307.2648758869454,28.130043448920908,medium
glucoseaa020,p3C10,pl,1,pl8_C_10_p3-C10,1.5360579687591263,0.11515437175620206,11254.080556797233,161.31473516723932,high
glucoseaa020,p3C12,pl,1,pl8_C_12_p3-C12,2.063877993743113,0.11671995288430077,11636.680461853079,18.150101915306326,high
